GC4XQHLHLYFVOSTYH4PEJ57KDC2WALKJO52VOEWFMIWSVSXWC3ZX5HGN,,48957474.909326,"118"
GBMGMVYIGW6OZO3GTHGVEGOWLEYADJMBNP3OYSAB4O42QNZRZP7G3HSC,,48871322.318538,"101"
GB3S6J5E2V3VKAFKJ6YMRPJQQJHLHF2RCOIT5RXRG3IR227ISQW32V3P,,48708232.248678,"2"
GCV6O52BJNHT77LROEZPYFYO7OFTNJGJGVVBD3W7X4HGQUR4JQ52GKOQ,,48458231.248578,"2"
GBLZJOWNGLFNLKCUTTD24ZNIQIDEBY6JJC35JZNN472E76R6IFPJIM4N,,48356845.944908,"835"
GBSOJNFYK4K7EEJ6UHFG2KJGMA5F26UH2ZDM4EX5PAC2YDKNBZL5DQ7E,,47401253.238044,"130"
GATQWQQFK5MMLQPYGMC6WGCGIGZFKRKC6273W7HQ5L3T5GMQW2POWPR6,,47401253.238044,"137"
GA7PFME4FXPT56SRTFNIPJ6IBPVJOGDOGT4XTXYOMN2CKOHEDJRRSDEC,,47401253.238044,"131"
GAMHDLUOYGEOYOE4XMX5V5OHLYHXAU2D2FA5TAV3ORWPRH6T2N7QQR2I,,47401253.238044,"131"
GATSC57E6JTEQMTWD67KNMA2FVFLBVKU7KXUSR5W4BAMPXGNOWH4KT74,,47128766.599482,"129"
GABSIYFWCQDBBPBLHM4N5HMNUSGXZJP7FXOAWE55DICDBG4TYVBBYKXB,,47128766.599482,"143"
GCR6IVQGQG5WZSIT6GID5QXTMBBMHHJ2PRESUKHVJG5B3BNADQ4O27FS,,47128766.599482,"127"
GDNCMZSXST5YN6QDOEI2WV7FZSTC2UUXSK3IIMBZ4JAZG3VXEMR2NGK7,,46945257.41604,"24"
GDNLCQTHJLNEUHD7OFS2SRK4VZUAAUBHNZSHY5LO3VWPVGVMCDFWAI7I,,46000039.01602,"59"
GAKKR7DJBKR7YDDKSZTUIF2DUEDMCIL4H466X6XDBUMD7NJLOS4CMFTR,,45724707.266504,"851"
GCHP3WJKQQSTDKBBXKYQ7CNTSEA2NHGNLGYC2KHK56MJZQERAAK5DM73,,45630244.186457,"26"
GC4TKGBKGU3KL5QBZAXLPR4I2CENIDLZ6ZRZUVAQ45FWTIXLU4NOK6QW,,45630244.186457,"91"
GBLMNYACTD5LHXCD2LQRVTVSODZMLJDOHY53OG6VNIODJZPCG5IBTM3O,,45630244.186457,"27"
GBEZ7MKBHVPJYQ4PWUM75ZDTOJQ26RI75S4L342WJUY4RURR3ITCIZQU,,45410792.363931,"203"
GBUWONOXQ4VOVWNSKUO3G7ZSXGYLOJAWD3YVWTE5AHF6Z7WE7CQCXGAN,,44620427.722967,"113"
GCRWZGRCYL2BFGTKIUQ3KIQA4KC4TQJGMIXFGWIJN2KZF6YIANUP46AG,,44000011.00608,"49"
GDUST544JNATIO2VI3L7LXHVJFZXNYRWIKNMGRV2RZFZOOBE635SEI4C,Bitrue,43198087.458706,"612792"
GA3VZ4ZIOX2BIFV2FLDN5UUK55IP7CSSPSJ7SJQGE4RPAW4DYXF2B72Y,,41319673.767652,"352"
GBSE5K6VS3MODHQ7IHH44IC3OR45QYDEAS2L3QVNC3OJL6KBPKKJSVSY,,40800481.455422,"28"
GCOEPUFA4VGWIEEYCSTLOJX2OTUYZ42M6C7HNX4NANIRUNKOFCBXCBHY,,40265561.210306,"427"
GCCDLTT4TTH7NRLLPYK72JDQMA7VECIRDDRP7ZVIZNOE7DLQA5SJUQ5N,,38666429.265091,"114"
GBKZA2QJEWJUWG7ICSS2S63AQULDS7YFI3NJINTPNBKJ7G6CZ6ITOSVP,,38578716.472572,"5"
GD6DGAJNKOJRASIXHL4PNACP7LFL2M5RC7GWJTR6WN4XVETVP2FGDMHZ,,38395121.521746,"7"
GDEHNQVARDRRBJRXHMFJKH736JOALSP6LHCKXRJLRVLKIG7JNO5FR3AW,,37869082.300511,"23"
